0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.75,-30.375,0.5,0.50425,0.495,0.49375,1.0,-30.375,0.375,0.50325,0.4935,0.494,1.25,-30.0,0.5,0.5025,0.49175,0.4945,0.5,-29.875,0.625,0.50075,0.49025,0.4945
8.5,-26.875,-13.125,0.5035,0.5005,0.4965,9.125,-26.75,-13.0,0.50375,0.50025,0.49625,8.5,-26.625,-12.5,0.5045,0.50075,0.4965,8.625,-26.625,-12.625,0.50475,0.501,0.496
1.625,-33.875,-1.5,0.48725,0.30325,0.43325,1.5,-33.625,-1.5,0.486,0.2955,0.4285,1.75,-32.625,-1.75,0.48625,0.28975,0.424,2.375,-32.125,-2.25,0.4865,0.2855,0.42025
-0.625,-11.875,29.0,0.509,0.50325,0.497,-0.75,-12.0,28.875,0.509,0.50275,0.49675,0.0,-12.25,28.375,0.5085,0.50275,0.497,-0.125,-11.5,29.0,0.5085,0.5025,0.4975
0.25,-30.125,-0.375,0.51225,0.48,0.50375,0.5,-29.875,-0.5,0.5125,0.47725,0.50225,0.5,-29.875,-0.25,0.51175,0.4745,0.5005,0.0,-29.5,-0.125,0.512,0.47175,0.499
2.5,-31.25,-2.625,0.4855,0.2835,0.4175,2.5,-30.625,-2.5,0.48325,0.28275,0.41575,2.75,-29.75,-3.375,0.48025,0.282,0.416,2.625,-29.0,-3.25,0.47675,0.2815,0.417
2.125,-34.125,0.0,0.47725,0.45375,0.4995,2.125,-33.875,-0.125,0.48625,0.45425,0.5035,1.875,-34.25,-0.75,0.49625,0.4545,0.50775,1.625,-33.5,-0.5,0.50525,0.45425,0.512
0.625,-30.125,-2.875,0.511,0.5025,0.497,0.625,-30.375,-2.75,0.5115,0.50275,0.497,1.25,-30.5,-1.875,0.5125,0.50275,0.49675,1.375,-30.375,-2.375,0.51325,0.5025,0.49625
0.75,-30.125,-2.25,0.514,0.503,0.49625,0.625,-30.625,-2.5,0.51425,0.50275,0.496,0.625,-30.25,-2.125,0.51425,0.50275,0.49625,1.125,-30.375,-2.25,0.51375,0.50275,0.49625
1.0,-31.25,-1.0,0.51625,0.49025,0.50075,1.375,-31.125,0.125,0.51725,0.49,0.50225,0.625,-31.0,1.125,0.51875,0.48975,0.503,0.625,-30.625,-0.25,0.51975,0.48975,0.50425
-0.625,-12.5,28.625,0.5075,0.503,0.498,-0.625,-12.625,28.75,0.50775,0.503,0.49775,-0.625,-12.375,28.5,0.5075,0.50325,0.498,-0.875,-12.375,28.75,0.508,0.50325,0.49775
0.75,-29.875,1.875,0.5075,0.39125,0.49,-0.5,-28.875,2.625,0.50975,0.3915,0.48475,-1.0,-29.125,1.625,0.51,0.3895,0.47925,-2.25,-29.125,1.625,0.5085,0.386,0.475
0.875,-30.5,-2.5,0.5135,0.502,0.49675,0.875,-30.5,-2.375,0.51375,0.502,0.49675,0.625,-30.125,-2.25,0.51425,0.50175,0.49625,1.0,-30.0,-2.5,0.51425,0.50225,0.4965
0.875,-30.125,-2.25,0.512,0.5035,0.4985,0.875,-30.75,-2.375,0.51175,0.50325,0.498,0.75,-30.375,-2.25,0.512,0.5035,0.498,1.125,-30.5,-2.875,0.51175,0.503,0.498
0.625,-29.75,-1.625,0.4715,0.506,0.493,0.25,-29.5,-2.125,0.46825,0.50525,0.492,0.5,-30.25,-1.875,0.46525,0.50475,0.49125,0.75,-30.5,-2.5,0.46525,0.5065,0.4915
3.0,-32.0,1.25,0.46125,0.34425,0.5305,3.375,-31.75,1.875,0.4625,0.3515,0.527,3.625,-31.75,2.0,0.466,0.36025,0.52275,3.75,-31.625,2.625,0.47175,0.3685,0.518
-0.125,-12.875,28.375,0.52925,0.5075,0.49925,-0.25,-13.0,27.625,0.5285,0.50675,0.4995,-0.5,-12.375,28.25,0.52775,0.507,0.49975,0.0,-13.0,28.375,0.527,0.507,0.4995
-0.375,-13.125,28.75,0.5275,0.507,0.498,-0.625,-12.5,29.125,0.5275,0.50675,0.49825,0.0,-12.625,28.75,0.5275,0.50625,0.49825,-0.375,-13.0,29.125,0.52825,0.506,0.49825
-2.5,-33.0,1.25,0.4205,0.38075,0.45575,-3.5,-32.25,1.625,0.426,0.372,0.4535,-3.5,-32.25,2.125,0.4315,0.36275,0.45175,-4.25,-32.0,2.25,0.43725,0.352,0.45
3.5,-31.625,2.875,0.479,0.376,0.51325,3.25,-31.375,3.0,0.48725,0.3825,0.50775,2.125,-31.125,2.125,0.49525,0.38725,0.50175,1.125,-30.25,2.5,0.5025,0.39025,0.496
1.0,-26.75,0.125,0.4135,0.3405,0.50775,2.375,-27.625,0.75,0.40925,0.345,0.50625,2.75,-28.25,0.75,0.407,0.35025,0.50425,3.5,-28.5,1.0,0.40675,0.356,0.502
0.625,-30.0,0.375,0.495,0.4815,0.49525,0.5,-30.25,0.5,0.494,0.479,0.4955,0.5,-29.875,0.5,0.493,0.4765,0.49575,0.25,-30.0,0.5,0.4915,0.47425,0.496
-4.375,-28.5,-3.375,0.42625,0.33525,0.523,-4.25,-28.25,-2.25,0.42675,0.32975,0.52,-3.875,-27.625,-2.875,0.42725,0.326,0.518,-2.875,-27.0,-2.0,0.42775,0.32475,0.51575
1.0,-30.25,-2.75,0.5035,0.501,0.497,1.0,-30.25,-3.0,0.50275,0.501,0.497,1.25,-30.125,-2.5,0.502,0.5005,0.49725,0.875,-30.25,-2.875,0.5015,0.501,0.49725
-5.125,-34.0,0.125,0.491,0.299,0.4885,-3.875,-34.5,0.25,0.50125,0.3035,0.49175,-2.125,-33.5,1.0,0.5095,0.30925,0.49425,-0.125,-33.125,0.5,0.516,0.31325,0.49725
3.125,-34.75,0.375,0.511,0.34675,0.45125,2.875,-34.625,0.375,0.5035,0.3335,0.448,2.875,-34.0,-0.25,0.49675,0.32075,0.4435,2.375,-34.375,-0.75,0.4905,0.311,0.439
1.625,-30.125,-0.25,0.51325,0.4925,0.49625,1.875,-30.5,-0.625,0.513,0.4925,0.497,1.5,-30.625,-0.25,0.513,0.49225,0.49725,1.25,-30.0,-0.75,0.51375,0.492,0.49725
1.375,-29.875,0.5,0.5075,0.4985,0.4945,0.875,-29.25,0.5,0.507,0.49775,0.49425,1.125,-30.375,1.125,0.50575,0.49675,0.49425,1.5,-30.375,0.875,0.50525,0.496,0.49425
1.0,-29.5,-3.75,0.409,0.503,0.4845,1.75,-30.0,-4.0,0.40525,0.50225,0.48575,1.0,-29.625,-3.75,0.40125,0.50175,0.4875,1.125,-29.875,-3.375,0.396,0.5005,0.488
8.125,-27.25,-12.5,0.5015,0.50325,0.4965,8.625,-26.875,-12.875,0.502,0.50325,0.49625,8.375,-26.625,-12.5,0.503,0.50325,0.4965,8.5,-26.75,-12.625,0.50425,0.50325,0.4965
-0.625,-11.625,28.5,0.52225,0.50525,0.49825,-0.5,-12.5,28.375,0.522,0.50475,0.49775,-0.75,-12.5,28.875,0.5215,0.50425,0.49825,-0.5,-12.25,28.75,0.521,0.50375,0.49775
1.0,-28.375,-9.75,0.5105,0.50225,0.4975,1.5,-28.125,-10.0,0.5105,0.50275,0.49775,1.125,-28.5,-10.5,0.5095,0.50275,0.498,1.0,-28.5,-9.75,0.509,0.5025,0.4985
0.75,-30.25,-5.75,0.50425,0.51275,0.494,1.25,-30.625,-5.125,0.50475,0.5135,0.49325,0.875,-30.25,-5.5,0.506,0.514,0.493,1.25,-30.25,-4.75,0.5075,0.51475,0.492
-0.125,-12.5,28.25,0.53,0.50675,0.498,-1.0,-13.125,27.625,0.53025,0.50725,0.49775,-0.125,-13.125,29.0,0.53075,0.50775,0.49875,-0.125,-13.125,28.5,0.531,0.50775,0.49875
1.0,-30.75,-2.5,0.51225,0.5045,0.497,0.75,-30.375,-2.75,0.5125,0.50425,0.497,0.875,-30.375,-2.25,0.5125,0.5045,0.49675,1.125,-30.25,-3.0,0.5125,0.5045,0.497
3.375,-28.375,-7.0,0.52325,0.4645,0.519,3.375,-28.5,-7.25,0.5145,0.471,0.51625,4.125,-28.375,-6.0,0.50725,0.47775,0.51225,4.625,-28.875,-5.625,0.50175,0.48375,0.508
1.25,-30.75,-2.875,0.5135,0.50375,0.497,1.25,-30.125,-2.0,0.51325,0.50325,0.4975,1.0,-30.375,-2.375,0.51325,0.503,0.49725,0.625,-30.75,-2.5,0.51325,0.50275,0.4975
1.5,-31.0,1.0,0.47625,0.29625,0.47425,1.125,-31.25,1.0,0.48125,0.29375,0.476,1.375,-31.25,1.125,0.487,0.2905,0.47725,1.125,-30.0,0.625,0.49325,0.287,0.479
4.75,-28.375,-2.875,0.4625,0.28775,0.436,4.75,-27.875,-1.75,0.46475,0.287,0.4395,4.75,-27.75,-1.625,0.46825,0.28475,0.44325,4.625,-27.75,-1.875,0.47025,0.2825,0.44625
0.875,-30.125,-5.0,0.50975,0.51525,0.493,1.25,-30.0,-5.0,0.51125,0.515,0.49375,1.25,-30.25,-5.5,0.5135,0.51425,0.49425,0.875,-29.875,-4.875,0.5155,0.5125,0.4955
4.125,-29.0,-1.75,0.46125,0.2835,0.444,4.125,-28.875,-1.625,0.4615,0.2845,0.4455,4.125,-28.75,-1.5,0.461,0.28575,0.44775,3.875,-28.875,-1.25,0.45975,0.28675,0.45025
-4.75,-29.0,0.125,0.4625,0.35125,0.544,-4.625,-29.0,1.25,0.459,0.34775,0.546,-3.625,-29.625,1.0,0.455,0.34325,0.548,-2.375,-29.375,2.0,0.45175,0.339,0.5495
4.25,-29.375,-5.0,0.537,0.52275,0.48675,4.5,-29.75,-5.25,0.54,0.52425,0.48775,3.375,-29.375,-5.0,0.54075,0.52475,0.48925,3.125,-29.375,-5.25,0.5395,0.525,0.4915
0.625,-28.875,-9.875,0.51,0.4875,0.4915,0.625,-29.0,-10.375,0.5105,0.48725,0.49125,0.625,-28.75,-9.75,0.5105,0.487,0.49125,0.625,-28.5,-9.875,0.511,0.487,0.491
2.5,-33.25,1.125,0.392,0.4,0.48625,2.25,-33.375,1.0,0.39275,0.402,0.482,1.25,-33.25,0.875,0.395,0.4025,0.47825,1.125,-33.125,0.75,0.3985,0.40175,0.474
0.5,-30.25,-2.0,0.46625,0.50675,0.4925,1.0,-30.25,-1.625,0.46675,0.507,0.4925,1.0,-30.5,-1.875,0.4675,0.50675,0.4925,0.625,-29.75,-2.375,0.4685,0.50575,0.492
-0.25,-29.25,-0.25,0.51225,0.46925,0.49625,-0.875,-29.375,0.0,0.5115,0.4665,0.494,-1.625,-29.125,0.25,0.512,0.46425,0.4915,-2.5,-29.25,0.875,0.512,0.46125,0.48875
-2.0,-28.875,-1.25,0.447,0.407,0.51775,-2.0,-29.25,-2.5,0.4425,0.4025,0.5195,-2.0,-30.25,-2.0,0.439,0.3965,0.52075,-3.375,-30.5,-4.0,0.4365,0.389,0.522
1.125,-29.875,-2.0,0.46875,0.505,0.492,0.75,-29.375,-2.375,0.46875,0.50425,0.49225,1.125,-29.875,-2.125,0.467,0.50325,0.49175,1.125,-30.0,-2.0,0.4655,0.502,0.491
8.625,-26.5,-12.625,0.50725,0.50225,0.49725,8.25,-26.125,-12.5,0.50725,0.502,0.497,8.25,-26.375,-12.625,0.5075,0.502,0.4975,8.375,-26.5,-12.125,0.507,0.502,0.498
8.5,-26.5,-12.5,0.50475,0.50275,0.4965,8.5,-26.375,-12.5,0.5055,0.503,0.4965,8.5,-26.875,-12.25,0.506,0.50275,0.49725,8.5,-26.75,-12.5,0.5065,0.5025,0.49725
1.5,-30.875,-5.375,0.524,0.51925,0.501,1.75,-30.5,-5.5,0.5215,0.51825,0.50225,1.375,-31.125,-6.0,0.52075,0.5175,0.50325,1.0,-30.875,-6.25,0.52075,0.517,0.50375
-0.375,-13.0,28.375,0.52925,0.50425,0.4975,0.0,-13.25,28.375,0.52925,0.50475,0.49775,0.0,-13.0,27.875,0.52925,0.50575,0.49825,-0.25,-12.875,28.0,0.52975,0.50625,0.49825
0.75,-30.25,-2.375,0.51275,0.503,0.497,1.0,-30.375,-2.375,0.5125,0.50325,0.49725,0.75,-30.125,-2.375,0.5125,0.5035,0.49725,0.75,-30.375,-2.25,0.51225,0.5035,0.497
8.625,-26.875,-13.0,0.50475,0.502,0.496,8.625,-26.5,-12.625,0.50525,0.502,0.49575,8.5,-26.75,-12.625,0.50525,0.50175,0.49625,8.25,-26.875,-13.625,0.5055,0.5015,0.496
-2.375,-19.125,-5.625,0.516,0.14375,0.366,-0.875,-17.875,-6.25,0.48925,0.1505,0.359,0.625,-16.75,-6.75,0.459,0.1615,0.35325,1.875,-15.5,-7.25,0.42575,0.176,0.3485
3.0,-29.625,-1.125,0.45475,0.29125,0.46375,3.0,-30.875,-2.125,0.4565,0.29275,0.4655,3.125,-30.25,-1.375,0.45825,0.295,0.46825,2.75,-30.25,-0.75,0.45975,0.297,0.469
0.75,-30.125,0.5,0.4995,0.4885,0.49425,0.625,-30.125,0.125,0.4985,0.48675,0.49425,0.5,-30.0,0.375,0.49725,0.48475,0.4945,0.875,-29.625,0.375,0.496,0.48325,0.49475
2.625,-30.875,0.25,0.462,0.29825,0.47,2.625,-31.0,0.125,0.46475,0.29925,0.47125,1.75,-30.75,0.375,0.468,0.299,0.472,1.625,-31.0,0.625,0.47125,0.298,0.47325
1.0,-29.375,1.75,0.4995,0.28375,0.48,1.0,-29.875,1.0,0.50475,0.28075,0.482,1.25,-28.875,0.75,0.50875,0.2785,0.4835,1.5,-28.625,0.625,0.511,0.276,0.48575
1.0,-30.0,-1.625,0.51175,0.5025,0.49675,0.625,-30.25,-3.0,0.51175,0.50225,0.4965,0.75,-30.25,-1.875,0.5125,0.50225,0.4965,0.875,-30.75,-2.875,0.513,0.50225,0.49675
1.0,-28.25,-10.375,0.516,0.49125,0.49225,1.0,-28.875,-10.0,0.51575,0.49125,0.49225,1.0,-28.375,-9.875,0.5155,0.49125,0.492,1.5,-29.5,-10.375,0.5155,0.491,0.4925
-3.375,-30.25,-3.875,0.4355,0.38125,0.52375,-3.875,-30.375,-4.375,0.434,0.37425,0.525,-4.125,-30.25,-4.375,0.4325,0.3685,0.52675,-4.625,-30.125,-4.5,0.43075,0.36375,0.52775
-1.125,-28.25,-0.5,0.47075,0.42225,0.51475,-1.625,-28.5,0.0,0.465,0.41825,0.51475,-1.25,-28.75,-0.375,0.4585,0.414,0.51525,-1.625,-28.75,-1.0,0.45275,0.41,0.5165
-10.875,-28.75,-2.0,0.46125,0.09025,0.4355,-11.0,-29.375,-1.25,0.46775,0.086,0.43675,-11.5,-29.0,0.375,0.473,0.08375,0.43875,-11.375,-29.125,0.125,0.4775,0.0835,0.44
0.125,-32.875,0.75,0.52025,0.317,0.50025,0.625,-32.75,1.5,0.52525,0.32075,0.50325,1.75,-32.625,1.25,0.53025,0.3255,0.5055,2.5,-31.875,1.25,0.5365,0.331,0.506
1.25,-30.0,-5.75,0.52025,0.5165,0.504,1.25,-30.0,-5.75,0.51775,0.5165,0.50375,1.125,-29.5,-5.5,0.51475,0.5165,0.50325,1.125,-29.5,-5.875,0.512,0.51625,0.5025
-0.625,-12.125,29.0,0.51875,0.508,0.4985,-0.75,-12.125,29.0,0.5185,0.5075,0.49875,-0.625,-12.125,29.125,0.51825,0.50725,0.49825,-0.5,-12.625,28.625,0.5185,0.50675,0.4985
1.0,-28.25,-9.875,0.51875,0.4905,0.49225,0.75,-28.125,-10.5,0.518,0.49075,0.49225,1.125,-28.375,-10.125,0.51725,0.491,0.49225,1.125,-28.375,-10.0,0.51675,0.491,0.49225
1.25,-31.0,-1.75,0.5135,0.50375,0.49725,1.0,-30.5,-2.25,0.51375,0.50375,0.497,0.875,-30.25,-2.625,0.51375,0.50375,0.49725,1.0,-30.5,-2.625,0.514,0.504,0.49725
-0.125,-12.5,28.5,0.52325,0.5085,0.49825,-0.25,-12.5,28.625,0.52425,0.508,0.49825,0.0,-12.625,28.375,0.5245,0.50775,0.4985,-0.75,-12.375,28.625,0.525,0.50725,0.49825
1.375,-30.0,0.75,0.51075,0.5005,0.49475,2.0,-30.25,0.625,0.51,0.5,0.495,1.125,-29.875,0.25,0.50925,0.4995,0.4945,1.625,-30.125,0.125,0.50825,0.49875,0.49475
-0.5,-12.375,28.375,0.522,0.50825,0.49875,-0.5,-12.625,29.5,0.52075,0.50825,0.499,0.125,-12.5,28.375,0.52,0.508,0.49875,-0.5,-12.0,28.5,0.51925,0.508,0.49875
-0.5,-12.125,28.875,0.5225,0.50575,0.498,-0.5,-12.375,29.0,0.52275,0.5055,0.498,-0.125,-12.75,28.5,0.52225,0.50525,0.49825,-0.5,-12.375,28.5,0.52225,0.50525,0.49775
-1.125,-24.25,-15.5,0.41925,0.145,0.42125,0.5,-23.875,-18.0,0.37475,0.1615,0.42825,2.25,-24.125,-19.75,0.3305,0.1825,0.435,3.25,-24.875,-20.875,0.291,0.20175,0.442
